nombre,apellido,fecha,dni,direccion,email,clave,salario,horario
juan,perez,21/11/1995,712187548067K,"[sainz de baranda,44,4º,Izq]",qwerty@asdf.com,tzrtl,1200,L-V 10H-14H
pepe,perez,25/01/1983,313256588501E,"[sainz de baranda,44,4º,Izq]",tudul@asdf.com,ufwgk,1866,L-V 10H-14H
sara,sanchez,16/04/1995,489725656749S,"[sainz de baranda,44,4º,Izq]",trnuf@asdf.com,kmnja,1744,L-V 10H-14H
susana,jimenez,13/08/1989,307966939383Q,"[sainz de baranda,44,4º,Izq]",nodeu@asdf.com,hvlks,1399,L-V 10H-14H
ana,ricotta,25/06/1983,963250232483J,"[sainz de baranda,44,4º,Izq]",jyfvd@asdf.com,dqfms,1626,L-V 10H-14H
jorge,mascarpone,19/08/1976,668835597115M,"[sainz de baranda,44,4º,Izq]",xcgiu@asdf.com,zqcwl,1337,L-V 10H-14H
lisa,pecorinno,14/12/1986,703830803697G,"[sainz de baranda,44,4º,Izq]",oivyn@asdf.com,ucxsv,1701,L-V 10H-14H
laura,parmigiano,17/06/1975,815092174248Q,"[sainz de baranda,44,4º,Izq]",zhryd@asdf.com,ibksf,2153,L-V 10H-14H
cloe,yanez,23/03/2001,275793331598F,"[sainz de baranda,44,4º,Izq]",kfsqf@asdf.com,bijei,1978,L-V 10H-14H
javi,menendez,19/06/1998,871965078151T,"[sainz de baranda,44,4º,Izq]",yicyn@asdf.com,gskbx,1527,L-V 10H-14H
